"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","13-Oct-2014","       2678.50","       2680.00","       2724.80","       2670.00","       2718.20","       2716.55","       2708.46","    1104766","      29922.20","      63544","     596246","         53.97"
"TCS","EQ","14-Oct-2014","       2716.55","       2730.00","       2735.70","       2678.80","       2702.25","       2699.20","       2697.82","    1184703","      31961.16","      75961","     717744","         60.58"
"TCS","EQ","16-Oct-2014","       2699.20","       2730.00","       2758.60","       2664.25","       2680.45","       2678.10","       2716.58","    1924007","      52267.18","     103718","    1063717","         55.29"
"TCS","EQ","17-Oct-2014","       2678.10","       2475.00","       2511.35","       2430.00","       2433.00","       2441.15","       2470.11","    4946406","     122181.59","     234927","    2685559","         54.29"
"TCS","EQ","20-Oct-2014","       2441.15","       2490.00","       2493.60","       2417.95","       2425.50","       2423.30","       2441.15","    1699621","      41490.24","      92248","    1042695","         61.35"
"TCS","EQ","21-Oct-2014","       2423.30","       2425.85","       2443.75","       2415.00","       2435.00","       2433.40","       2428.83","     975366","      23689.96","      53575","     535647","         54.92"
"TCS","EQ","22-Oct-2014","       2433.40","       2485.00","       2489.00","       2445.10","       2452.60","       2451.85","       2455.51","    1033832","      25385.85","      79723","     755848","         73.11"
"TCS","EQ","23-Oct-2014","       2451.85","       2465.00","       2468.00","       2455.00","       2464.00","       2465.35","       2463.59","     156299","       3850.57","       8946","     113461","         72.59"
"TCS","EQ","27-Oct-2014","       2465.35","       2519.00","       2519.70","       2444.95","       2458.15","       2457.15","       2467.27","    1398604","      34507.27","      65973","    1069938","         76.50"
"TCS","EQ","28-Oct-2014","       2457.15","       2484.90","       2484.90","       2453.45","       2479.20","       2478.60","       2471.82","    1144979","      28301.84","      71704","     810037","         70.75"
"TCS","EQ","29-Oct-2014","       2478.60","       2475.00","       2514.00","       2473.00","       2504.00","       2506.05","       2493.85","    1212508","      30238.08","      62974","     829033","         68.37"
"TCS","EQ","30-Oct-2014","       2506.05","       2521.80","       2574.90","       2509.00","       2563.00","       2558.20","       2550.36","    2055646","      52426.30","      96060","    1456714","         70.86"
"TCS","EQ","31-Oct-2014","       2558.20","       2561.00","       2620.00","       2561.00","       2614.55","       2607.85","       2593.12","    1585035","      41101.93","      76177","    1138359","         71.82"
"TCS","EQ","03-Nov-2014","       2607.85","       2649.00","       2649.00","       2580.50","       2596.00","       2590.35","       2604.36","    1270816","      33096.58","      89320","     828856","         65.22"
"TCS","EQ","05-Nov-2014","       2590.35","       2638.00","       2638.00","       2590.00","       2605.00","       2599.50","       2600.96","    1155321","      30049.48","      96379","     774683","         67.05"
"TCS","EQ","07-Nov-2014","       2599.50","       2604.80","       2615.70","       2557.00","       2570.00","       2572.85","       2575.55","    1063370","      27387.68","      61131","     695652","         65.42"
"TCS","EQ","10-Nov-2014","       2572.85","       2575.10","       2582.00","       2551.00","       2575.00","       2569.65","       2562.92","     770982","      19759.65","     101497","     450053","         58.37"
"TCS","EQ","11-Nov-2014","       2569.65","       2578.00","       2594.00","       2555.40","       2574.40","       2580.70","       2576.41","     624970","      16101.78","      48869","     341850","         54.70"
"TCS","EQ","12-Nov-2014","       2580.70","       2580.00","       2611.00","       2575.00","       2595.00","       2591.75","       2598.95","     660291","      17160.66","      55902","     385881","         58.44"
"TCS","EQ","13-Nov-2014","       2591.75","       2595.00","       2604.90","       2565.15","       2590.00","       2588.45","       2585.94","     822770","      21276.31","      48660","     450199","         54.72"
"TCS","EQ","14-Nov-2014","       2588.45","       2585.20","       2611.15","       2575.00","       2598.95","       2606.45","       2593.57","     728587","      18896.44","      61264","     474183","         65.08"
"TCS","EQ","17-Nov-2014","       2606.45","       2595.10","       2625.00","       2592.25","       2615.00","       2618.30","       2609.64","     785276","      20492.85","      40229","     493987","         62.91"
"TCS","EQ","18-Nov-2014","       2618.30","       2620.00","       2626.65","       2579.75","       2585.70","       2585.85","       2597.99","     733513","      19056.57","      88497","     484207","         66.01"
"TCS","EQ","19-Nov-2014","       2585.85","       2598.00","       2598.00","       2557.45","       2577.80","       2573.75","       2570.88","     932873","      23983.06","      79245","     621500","         66.62"
"TCS","EQ","20-Nov-2014","       2573.75","       2588.00","       2610.25","       2560.55","       2608.50","       2605.45","       2589.44","     897693","      23245.23","      49550","     510732","         56.89"
"TCS","EQ","21-Nov-2014","       2605.45","       2608.00","       2640.00","       2586.65","       2615.05","       2622.15","       2614.63","    1000797","      26167.12","      79151","     625586","         62.51"
"TCS","EQ","24-Nov-2014","       2622.15","       2622.00","       2665.00","       2622.00","       2662.00","       2657.70","       2646.17","     971383","      25704.43","      74150","     670924","         69.07"
"TCS","EQ","25-Nov-2014","       2657.70","       2660.00","       2679.40","       2616.00","       2647.20","       2636.00","       2638.19","    1185842","      31284.82","     108334","     724875","         61.13"
"TCS","EQ","26-Nov-2014","       2636.00","       2630.05","       2656.35","       2615.00","       2625.15","       2627.30","       2629.81","     792400","      20838.65","      64737","     469924","         59.30"
"TCS","EQ","27-Nov-2014","       2627.30","       2627.30","       2668.00","       2625.30","       2658.00","       2653.30","       2642.06","     866209","      22885.72","      49902","     575774","         66.47"
"TCS","EQ","28-Nov-2014","       2653.30","       2658.35","       2691.90","       2635.35","       2642.60","       2643.00","       2653.27","     994884","      26396.99","      48620","     653714","         65.71"
"TCS","EQ","01-Dec-2014","       2643.00","       2650.50","       2700.00","       2645.25","       2691.90","       2692.95","       2684.75","     948177","      25456.20","      50222","     588736","         62.09"
"TCS","EQ","02-Dec-2014","       2692.95","       2693.00","       2710.95","       2649.35","       2651.40","       2657.30","       2682.07","     718286","      19264.97","      27819","     423257","         58.93"
"TCS","EQ","03-Dec-2014","       2657.30","       2671.90","       2673.40","       2618.50","       2635.15","       2635.35","       2635.32","    1547335","      40777.29","      60721","    1210435","         78.23"
"TCS","EQ","04-Dec-2014","       2635.35","       2664.00","       2667.00","       2629.90","       2642.00","       2637.95","       2643.38","     642654","      16987.80","      47929","     412705","         64.22"
"TCS","EQ","05-Dec-2014","       2637.95","       2640.90","       2649.80","       2572.15","       2575.00","       2578.95","       2589.62","    1179838","      30553.32","      76304","     921048","         78.07"
"TCS","EQ","08-Dec-2014","       2578.95","       2595.00","       2595.00","       2501.65","       2515.70","       2512.80","       2522.01","    1616287","      40762.99","      83979","    1208786","         74.79"
